name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,OTA_1_R1,OTA_1_R2,OTA_1_R3,OTA_2_R1,OTA_2_R2,OTA_2_R3,OTA_3_R1,OTA_3_R2,OTA_3_R3,OTA_4_R1,OTA_4_R2,OTA_4_R3,PTA_1_R1,PTA_1_R2,PTA_1_R3,PTA_2_R1,PTA_2_R2,PTA_2_R3,PTA_3_R1,PTA_3_R2,PTA_3_R3,PTA_4_R1,PTA_4_R2,PTA_4_R3
SCA-6_Chr8v1_21573,SCA-6_Chr8v1_21573,45.9,52.9,39,0.998,-0.5,0.61,-0.01,1.00E+00,1.00E+00,0.9998,13460,34.6,42.9,22.6,136.8,188.1,32.7,95.7,22.8,29,14.8,14.6,0,42.1,83.7,25.3,0,103.2,9.9,15.7,73.5,67.1,25.7,16.3,5.5
SCA-6_Chr8v1_21575,Y8901,6,4.2,7.9,6.158,-0.5,1.71,1.54,1.20E-01,1.00E+00,0.9998,13461,0,0,0,0,35.3,0,14.6,0,0,0,0,0,0,31.4,2.7,0,0,1.8,12.3,31.8,0,13.7,0,1.4
SCA-6_Chr8v1_21576,ECA3,28.4,30.5,26.2,0.962,-0.5,0.62,-0.09,9.30E-01,1.00E+00,0.9998,13462,12.9,7,52.4,47,27.9,52.3,6.2,56.9,43,13.6,35.6,10.9,38.2,0,23.5,0,30.8,59.1,41.5,54.9,5.7,37.7,7.1,16.4
SCA-6_Chr8v1_21577,SCA-6_Chr8v1_21577,106.5,149,64.2,0.568,-0.5,0.7,-1.16,2.40E-01,1.00E+00,0.9998,13463,315.8,273.7,298.8,285.8,248.4,161.9,49.9,1.9,19.4,109.9,21.9,0,326.3,55,157.9,0,33.5,60,0,41.7,45.5,32.5,9.7,7.7
SCA-6_Chr8v1_21581,SCA-6_Chr8v1_21581,331.8,390.5,273.2,0.768,-0.5,0.44,-0.87,3.90E-01,1.00E+00,0.9998,13464,490,531.1,376.4,622.6,442.4,418.6,336.1,127.2,283.8,648.5,182.8,226,177.6,456.6,430.3,0,327.1,195.2,430.5,248,342.2,220.1,164.7,286.5
SCA-6_Chr8v1_21585,E70A1,3.5,1.2,5.7,6.776,-0.5,1.75,1.58,1.10E-01,1.00E+00,0.9998,13465,0,1.2,0,0,0,0,0,1.9,9.7,0,1.8,0,0,0,20.7,0,9.4,0,0,13.2,17.1,0.9,7.6,0
SCA-6_Chr8v1_21586,FB140,137.9,132.9,142.8,1.165,-0.5,0.45,0.49,6.30E-01,1.00E+00,0.9998,13466,146.5,182,61.4,277.6,201.4,111.2,188.3,106.3,77.4,144.5,61.2,37.5,444.7,149.2,179.5,0,108.6,47.5,136.8,130.6,314.9,116.5,32.5,52.8
SCA-6_Chr8v1_21587,WLIM1,1017.8,1101.4,934.3,0.766,-0.5,0.33,-1.15,2.50E-01,1.00E+00,0.9998,13467,716.8,378,1580.6,261.3,961.3,1120.2,540,879.7,1353.5,536.1,2564.4,2324.6,181.6,469.7,703.6,904.9,658.2,1638.9,638,595.7,625.2,1082.5,1917.1,1796
SCA-6_Chr8v1_21588,QQT1,24.8,22.9,26.6,1.063,-0.5,0.71,0.12,9.00E-01,1.00E+00,0.9998,13468,20.8,3.5,22.6,0,42.6,16.4,3.1,23.7,39.8,0,63.1,39.4,0,0,26.2,71.3,9.4,51.9,19.1,23,13.6,27.4,15.3,62.3
SCA-6_Chr8v1_21589,SCA-6_Chr8v1_21589,30.8,26.5,35.1,1.341,-0.5,0.68,0.62,5.30E-01,1.00E+00,0.9998,13469,21.8,20.9,26.2,0,0,16.4,33.3,41.8,55.9,13.6,53,35.6,10.5,23.6,20.7,0,75.1,7.2,60.5,64.7,96.6,17.1,32.5,12.3
SCA-6_Chr8v1_21590,AK17A,64.6,63.8,65.4,1.077,-0.5,0.41,0.26,7.90E-01,1.00E+00,0.9998,13470,42.6,129.9,30.7,230.7,50,46.6,63.5,24.7,24.7,33.3,37.5,51.7,51.3,64.1,37.9,50,76.4,84.2,78.5,18.7,78.4,50.5,113.4,81.9
SCA-6_Chr8v1_21591,SCA-6_Chr8v1_21591,48.8,44.5,53.1,1.059,-0.5,0.63,0.13,8.90E-01,1.00E+00,0.9998,13471,5.9,23.2,69.5,0,0,32.7,44.7,96.8,62.4,27.2,121.5,49.8,50,0,61.3,31.1,49.6,101.2,23.5,35.1,63.7,36,103.7,81.4
SCA-6_Chr8v1_21592,NPGR1,19.6,17.1,22,1.171,-0.5,0.86,0.26,7.90E-01,1.00E+00,0.9998,13472,0,35.9,25.3,0,0,8.2,36.4,15.2,21.5,32.1,5.5,25.6,6.6,0,71.3,0,4,42.1,9,27.4,3.4,19.7,32,48.7
SCA-6_Chr8v1_21593,ACSA1,51.8,50,53.5,1.087,-0.5,0.72,0.17,8.70E-01,1.00E+00,0.9998,13473,49.5,67.3,52.4,0,7.3,61.3,65.5,115.8,77.4,22.2,64,17.1,0,0,37.9,0,116.6,30.4,50.5,100.9,69.3,75.4,93.5,67.8
