name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Early_OTA_1_R1,Early_OTA_1_R2,Early_OTA_1_R3,Early_OTA_2_R1,Early_OTA_2_R2,Early_OTA_2_R3,Early_PTA_1_R1,Early_PTA_1_R2,Early_PTA_1_R3,Early_PTA_2_R1,Early_PTA_2_R2,Early_PTA_2_R3
SCA-6_Chr10v1_27334,SCA-6_Chr10v1_27334,13.2,12.1,14.3,1.303,0.4,1.16,0.33,7.4e-01,1.0e+00,1,7563,6.2,19.6,10.4,1.8,28.9,5.8,3.6,50.9,6.5,0,8.5,16.6
SCA-6_Chr10v1_27335,SP3AA,6,6,6.1,1.144,0.2,2.5,0.08,9.4e-01,1.0e+00,1,7564,14.1,11.3,10.4,0,0,0,0,0,0,0,25.5,11.1
SCA-6_Chr10v1_27339,KCY3,17.8,17.1,18.5,1.218,0.3,1.31,0.22,8.3e-01,1.0e+00,1,7565,3.5,24.8,37.7,0,25,11.7,0,23.1,66,0,6.1,15.8
SCA-6_Chr10v1_27342,SCA-6_Chr10v1_27342,50.6,17.1,84.1,1.764,0.8,1.15,0.71,4.8e-01,1.0e+00,1,7566,11.5,3.1,61.7,0,0,26.3,0,34.7,30.2,358.1,17,64.8
SCA-6_Chr10v1_27343,SCA-6_Chr10v1_27343,56.5,45.5,67.4,1.576,0.7,0.81,0.81,4.2e-01,1.0e+00,1,7567,19.4,43.3,48.1,44.4,97.3,20.4,3.6,121.4,71.8,46.4,18.2,143.1
SCA-6_Chr10v1_27346,SGO2,55.4,23.4,87.4,0.16,-2.6,1.08,-2.45,1.4e-02,1.0e+00,1,7568,18.6,22.7,34.5,0,43.4,21.2,0,0,18.8,485.2,0,20.6
SCA-6_Chr10v1_27353,PULA1,48.9,43.3,54.5,1.301,0.4,0.88,0.43,6.7e-01,1.0e+00,1,7569,35.4,64,53.7,51.5,22.4,32.8,150.9,0,79.1,0,52.2,45.1
SCA-6_Chr10v1_27358,RAC2A,6,4.6,7.3,1.8,0.8,2.2,0.39,7.0e-01,1.0e+00,1,7570,0,10.3,8,0,0,9.5,0,20.8,0,0,12.1,11.1
SCA-6_Chr10v1_27359,NAC52,23.9,14.3,33.5,2.183,1.1,1.07,1.06,2.9e-01,1.0e+00,1,7571,28.3,14.4,16.8,16,1.3,8.8,61.8,0,39.1,0,26.7,73.5
SCA-6_Chr10v1_27366,SCA-6_Chr10v1_27366,6.5,6.6,6.4,0.6,-0.7,2.08,-0.35,7.2e-01,1.0e+00,1,7572,8,0,12,0,17.1,2.2,32.1,0,0,0,0,6.3
SCA-6_Chr10v1_27369,SCA-6_Chr10v1_27369,25.8,23,28.6,0.776,-0.4,1.06,-0.35,7.3e-01,1.0e+00,1,7573,8.8,15.5,49.7,0,36.8,27,90.3,1.2,45.7,0,4.9,29.2
SCA-6_Chr10v1_27371,SCA-6_Chr10v1_27371,6.3,4.2,8.5,3.133,1.6,2.26,0.73,4.7e-01,1.0e+00,1,7574,0,2.1,4,0,0,19,0,0,29.4,0,4.9,16.6
SCA-6_Chr10v1_27375,HBL2,4.7,2.6,6.8,1.535,0.6,2.39,0.26,8.0e-01,1.0e+00,1,7575,0,2.1,5.6,0,0,8,17.8,0,18.8,0,0,4
SCA-6_Chr10v1_27376,DRL4,10.2,12.2,8.2,0.936,-0.1,1.58,-0.06,9.5e-01,1.0e+00,1,7576,17.7,10.3,16.8,0,25,3.6,0,0,21.2,0,18.2,9.5
SCA-6_Chr10v1_27377,SMR3,29.2,40,18.3,0.547,-0.9,0.77,-1.13,2.6e-01,1.0e+00,1,7577,19.4,72.2,21.6,19.5,65.7,41.6,13.1,42.8,13.9,0,19.4,20.6
SCA-6_Chr10v1_27380,DGP2,41.5,34.4,48.5,1.681,0.7,0.91,0.82,4.1e-01,1.0e+00,1,7578,30.9,21.7,52.9,0,23.7,77.3,11.9,52,43.2,0,69.2,114.6
SCA-6_Chr10v1_27382,DSP4,74,84.5,63.5,0.852,-0.2,0.55,-0.42,6.8e-01,1.0e+00,1,7579,82.2,55.7,125,58.6,106.5,78.8,30.9,55.5,74.2,0,49.8,170.7
SCA-6_Chr10v1_27387,PHF1,28.8,21.1,36.4,1.418,0.5,1.17,0.43,6.7e-01,1.0e+00,1,7580,16.8,6.2,44.9,0,21,37.9,0,2.3,57.1,50.1,34,75.1
SCA-6_Chr10v1_27394,SCA-6_Chr10v1_27394,18,17.1,18.8,1.128,0.2,1.16,0.15,8.8e-01,1.0e+00,1,7581,38,12.4,2.4,24.9,0,24.8,8.3,52,16.3,0,34,2.4
SCA-6_Chr10v1_27395,PP117,7.3,8.3,6.4,0.692,-0.5,1.8,-0.3,7.7e-01,1.0e+00,1,7582,18.6,1,4,0,26.3,0,30.9,0,3.3,0,0,4
SCA-6_Chr10v1_27396,GINT1,43.2,42.6,43.8,1.034,0,0.89,0.05,9.6e-01,1.0e+00,1,7583,36.2,71.2,57.7,17.8,35.5,37.2,25,0,59.5,42.4,105.6,30
SCA-6_Chr10v1_27400,BSPA,15.4,8.2,22.6,1.894,0.9,1.48,0.62,5.3e-01,1.0e+00,1,7584,1.8,6.2,23.2,0,6.6,11.7,0,62.4,20.4,48.2,0,4.7
SCA-6_Chr10v1_27401,SCA-6_Chr10v1_27401,4.5,6.2,2.8,0.636,-0.7,2.85,-0.23,8.2e-01,1.0e+00,1,7585,11.5,0,0.8,0,25,0,16.6,0,0,0,0,0
SCA-6_Chr10v1_27403,5MMP,4,3.3,4.8,1.48,0.6,3.07,0.18,8.5e-01,1.0e+00,1,7586,0,0,10.4,0,0,9.5,0,0,0,0,20.6,7.9
SCA-6_Chr10v1_27407,MCES2,24.3,20.8,27.8,1.573,0.7,1.15,0.57,5.7e-01,1.0e+00,1,7587,0,29.9,38.5,0,31.6,24.8,54.7,30.1,37.5,0,31.6,12.6
SCA-6_Chr10v1_27433,KPYC2,41.7,45.9,37.5,0.964,-0.1,1.06,-0.05,9.6e-01,1.0e+00,1,7588,23,22.7,104.2,0,90.7,35,0,31.2,61.2,0,14.6,117.8
SCA-6_Chr10v1_27434,KPYC2,7.9,9.5,6.2,0.788,-0.3,1.76,-0.19,8.5e-01,1.0e+00,1,7589,2.7,28.9,17.6,0,0,8,5.9,0,6.5,0,23.1,1.6
SCA-6_Chr10v1_27436,PILS3,8.9,6.6,11.2,1.818,0.9,1.91,0.45,6.5e-01,1.0e+00,1,7590,16.8,11.3,0.8,0,0,10.9,0,0,7.3,0,13.3,46.6
SCA-6_Chr10v1_27446,SCA-6_Chr10v1_27446,56,34.2,77.7,2.023,1,0.78,1.31,1.9e-01,1.0e+00,1,7591,29.2,35.1,28.8,0,28.9,83.2,102.2,72.9,66.9,117.3,32.8,74.3
SCA-6_Chr10v1_27449,MYTM1,53.1,28.6,77.6,2.65,1.4,0.93,1.52,1.3e-01,1.0e+00,1,7592,13.3,14.4,54.5,0,34.2,55.4,32.1,3.5,169.6,54.1,104.4,102
SCA-6_Chr10v1_27450,SCA-6_Chr10v1_27450,43,41.7,44.4,1.311,0.4,0.66,0.59,5.5e-01,1.0e+00,1,7593,21.2,38.2,51.3,58.6,35.5,45.2,17.8,64.8,69.3,0,36.4,78.3
SCA-6_Chr10v1_27452,SSU72,12.7,11.7,13.7,1.151,0.2,1.59,0.13,9.0e-01,1.0e+00,1,7594,12.4,1,16,0,9.2,31.4,0,0,25.3,0,13.3,43.5
SCA-6_Chr10v1_27454,GAT1,5.5,4.4,6.7,1.586,0.7,2.29,0.29,7.7e-01,1.0e+00,1,7595,0,11.3,10.4,0,0,4.4,0,5.8,20.4,0,0,14.2
SCA-6_Chr10v1_27464,LRK10,13,18.1,8,0.449,-1.2,1.68,-0.69,4.9e-01,1.0e+00,1,7596,25.6,21.7,31.2,0,0,29.9,0,0,28.5,0,8.5,11.1
SCA-6_Chr10v1_27472,EFNMT,16.9,14.6,19.2,1.6,0.7,1.05,0.65,5.2e-01,1.0e+00,1,7597,7.1,14.4,16.8,0,15.8,33.6,28.5,23.1,11.4,0,27.9,24.5
SCA-6_Chr10v1_27479,RU1C,4.1,1.9,6.4,4.174,2.1,2.79,0.74,4.6e-01,1.0e+00,1,7598,0,2.1,8.8,0,0,0.7,0,0,0,0,23.1,15
SCA-6_Chr10v1_27485,NIN3,58.8,65.1,52.5,0.527,-0.9,0.77,-1.21,2.3e-01,1.0e+00,1,7599,68.1,44.4,72.1,0,122.3,83.9,23.8,23.1,42.4,146.2,40,39.5
SCA-6_Chr10v1_27494,CTR1,71.4,36,106.7,2.144,1.1,0.91,1.2,2.3e-01,1.0e+00,1,7600,10.6,36.1,65.7,0,47.3,56.2,1.2,124.9,53,239.7,114.1,107.5
SCA-6_Chr10v1_27495,NICA,8.3,7.8,8.8,1.062,0.1,2,0.04,9.7e-01,1.0e+00,1,7601,0,5.2,26.4,0,0,15.3,0,0,5.7,2.2,8.5,36.4
SCA-6_Chr10v1_27497,RL9,70.7,86.2,55.3,0.89,-0.2,0.56,-0.3,7.7e-01,1.0e+00,1,7602,39.8,86.7,79.3,191.8,35.5,83.9,72.5,92.5,36.7,0,53.4,76.7
SCA-6_Chr10v1_27520,PRP2,17.8,14.9,20.8,0.618,-0.7,1.03,-0.68,5.0e-01,1.0e+00,1,7603,11.5,9.3,5.6,1.8,39.4,21.9,5.9,5.8,31,66.9,2.4,12.6
SCA-6_Chr10v1_27521,BASS4,10.4,15.4,5.5,0.437,-1.2,1.82,-0.66,5.1e-01,1.0e+00,1,7604,14.1,12.4,25.6,0,0,40.1,1.2,0,0,0,15.8,15.8
SCA-6_Chr10v1_27522,ESTE,26,23.1,28.9,1.411,0.5,1.1,0.45,6.5e-01,1.0e+00,1,7605,16.8,26.8,23.2,55.1,0,16.8,17.8,64.8,0,24.8,26.7,39.5
SCA-6_Chr10v1_27523,DNPEP,8.8,8.8,8.7,1.173,0.2,1.86,0.12,9.0e-01,1.0e+00,1,7606,19.4,15.5,4.8,0,0,13.1,0,22,0,0,7.3,22.9
SCA-6_Chr10v1_27528,NIFU4,49.6,38.8,60.5,1.153,0.2,1.08,0.19,8.5e-01,1.0e+00,1,7607,71.6,4.1,60.9,0,30.2,65.7,0,10.4,89.7,61,23.1,178.6
SCA-6_Chr10v1_27529,MF14B,15.6,9.3,21.8,2.834,1.5,1.06,1.42,1.6e-01,1.0e+00,1,7608,16.8,23.7,5.6,1.8,2.6,5.1,10.7,26.6,49.7,0,21.8,22.1
SCA-6_Chr10v1_27530,NADAP,10.7,13.1,8.3,0.708,-0.5,1.49,-0.33,7.4e-01,1.0e+00,1,7609,4.4,35.1,4.8,0,13.1,21.2,23.8,0,18.8,0,4.9,2.4
SCA-6_Chr10v1_27531,BL1S2,25,25.7,24.3,2.193,1.1,1.3,0.87,3.8e-01,1.0e+00,1,7610,10.6,22.7,5.6,103,0,12.4,25,0,4.9,0,30.3,85.4
SCA-6_Chr10v1_27532,ORRM1,50.4,55.8,44.9,0.91,-0.1,0.94,-0.15,8.8e-01,1.0e+00,1,7611,41.5,51.6,92.9,94.1,0,54.7,5.9,136.5,12.2,11,25.5,78.3
SCA-6_Chr10v1_27539,MK67I,66.7,66.8,66.6,1.03,0,0.6,0.07,9.4e-01,1.0e+00,1,7612,46.9,60.9,95.3,78.2,46,73.7,91.5,18.5,80.7,0,51,158.1
SCA-6_Chr10v1_27540,SCA-6_Chr10v1_27540,27.6,34.4,20.9,0.743,-0.4,0.83,-0.52,6.1e-01,1.0e+00,1,7613,19.4,27.9,32.9,88.8,21,16.1,23.8,47.4,20.4,0,30.3,3.2
SCA-6_Chr10v1_27541,PTL,39.7,64.3,14.9,0.273,-1.9,0.93,-2.01,4.5e-02,1.0e+00,1,7614,53,68.1,31.2,65.7,130.2,37.9,7.1,0,25.3,0,51,6.3
SCA-6_Chr10v1_27543,ATL32,62.1,50.2,74,1.765,0.8,0.67,1.22,2.2e-01,1.0e+00,1,7615,75.1,49.5,75.3,39.1,3.9,58.4,74.9,116.8,105.2,0,83.7,63.2
SCA-6_Chr10v1_27554,PRS6B,23.9,7.6,40.3,0.697,-0.5,1.31,-0.4,6.9e-01,1.0e+00,1,7616,1.8,12.4,6.4,0,18.4,6.6,0,1.2,9,190.4,0,41.1
SCA-6_Chr10v1_27555,SCA-6_Chr10v1_27555,34.9,42.6,27.1,0.37,-1.4,1.04,-1.37,1.7e-01,1.0e+00,1,7617,1.8,25.8,41.7,55.1,106.5,24.8,46.3,0,42.4,0,3.6,70.3
SCA-6_Chr10v1_27561,TBL36,49.1,38,60.2,1.836,0.9,0.93,0.94,3.5e-01,1.0e+00,1,7618,27.4,24.8,99.4,17.8,0,58.4,8.3,39.3,85.6,0.4,78.9,148.6
SCA-6_Chr10v1_27563,ACR12,9.5,15.6,3.5,0.495,-1,1.65,-0.62,5.4e-01,1.0e+00,1,7619,6.2,21.7,4.8,48,0,13.1,0,8.1,0.8,0,0,11.9
SCA-6_Chr10v1_27566,ACR12,9.1,15.4,2.9,0.184,-2.4,2.15,-1.14,2.6e-01,1.0e+00,1,7620,0,8.3,40.9,0,0,43,0,0,0,0.7,2.4,14.2
SCA-6_Chr10v1_27568,GATA,49.4,60.8,38,0.775,-0.4,0.85,-0.43,6.6e-01,1.0e+00,1,7621,102.5,23.7,61.7,53.3,90.7,32.8,0,41.6,50.6,0,40,95.6
SCA-6_Chr10v1_27574,SCA-6_Chr10v1_27574,67.5,39.9,95,3.262,1.7,1.07,1.6,1.1e-01,1.0e+00,1,7622,32.7,11.3,71.3,0,98.6,25.5,0,298.4,49.7,0,112.9,109.1
SCA-6_Chr10v1_27575,CAAT6,34.6,27.8,41.4,1.84,0.9,1.09,0.81,4.2e-01,1.0e+00,1,7623,6.2,18.6,52.1,48,0,41.6,0,97.1,28.5,2.6,49.8,70.3
SCA-6_Chr10v1_27578,PP365,65.9,81.1,50.6,0.814,-0.3,0.84,-0.35,7.2e-01,1.0e+00,1,7624,74.3,67.1,63.3,175.9,26.3,79.5,101,0,27.7,5.5,128.6,41.1
SCA-6_Chr10v1_27580,OPF13,15.5,17.6,13.3,0.654,-0.6,1.52,-0.4,6.9e-01,1.0e+00,1,7625,3.5,5.2,10.4,0,48.6,37.9,0,0,40,0,8.5,31.6
SCA-6_Chr10v1_27584,MFPS,8.1,6.5,9.6,2.456,1.3,1.86,0.7,4.9e-01,1.0e+00,1,7626,5.3,0,4,0,26.3,3.6,0,0,26.9,0,15.8,15
