name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Late_OTA_3_R1,Late_OTA_3_R2,Late_OTA_3_R3,Late_OTA_4_R1,Late_OTA_4_R2,Late_OTA_4_R3,Late_PTA_3_R1,Late_PTA_3_R2,Late_PTA_3_R3,Late_PTA_4_R1,Late_PTA_4_R2,Late_PTA_4_R3
SCA-6_Chr4v1_11572,SCC2,430.2,469.5,390.9,0.829,-0.3,0.37,-0.73,4.6e-01,1.0e+00,0.9998,7537,524.3,363.6,429,694.4,220.1,585.7,620.3,389.4,466.4,413.6,254.4,201.3
SCA-6_Chr4v1_11578,FB270,204.8,207.1,202.6,0.897,-0.2,0.49,-0.32,7.5e-01,1.0e+00,0.9998,7538,114.3,250.1,289.9,35.7,339.2,213.2,82.4,218.2,165.3,158.4,293.4,298.1
SCA-6_Chr4v1_11579,SCA-6_Chr4v1_11579,99.5,108.8,90.2,1.086,0.1,0.49,0.24,8.1e-01,1.0e+00,0.9998,7539,197.9,89.7,102.9,134.9,108.6,18.7,195.6,124.2,68,35.1,55,63.2
SCA-6_Chr4v1_11590,SCA-6_Chr4v1_11590,218.6,221.8,215.6,1.054,0.1,0.37,0.21,8.3e-01,1.0e+00,0.9998,7540,175.6,314.8,258.4,80.6,347.7,153.4,230.4,200.1,271.9,248.5,156.6,186
SCA-6_Chr4v1_11591,AMY3,27.4,24.2,30.6,2.296,1.2,0.8,1.49,1.4e-01,1.0e+00,0.9998,7541,10.6,6,62,27.9,38.7,0,38.6,41,78.6,13.3,9.6,2.5
SCA-6_Chr4v1_11593,WDR12,85.7,89,82.3,0.93,-0.1,0.39,-0.26,7.9e-01,1.0e+00,0.9998,7542,80.1,105.6,71.3,142.6,36.8,97.8,57.9,82,106.6,77.8,78.6,90.7
SCA-6_Chr4v1_11594,MENH,90.4,100.1,80.8,0.803,-0.3,0.39,-0.8,4.2e-01,1.0e+00,0.9998,7543,128.4,84.7,141.5,80.6,44.4,120.8,104.2,56.7,115.9,56,72.1,80
SCA-6_Chr4v1_11595,RIK,195.8,191.7,199.9,0.969,0,0.59,-0.08,9.4e-01,1.0e+00,0.9998,7544,202.7,152.4,79.5,334.8,45.3,335.6,290.9,123,441.1,218.2,68.9,57.1
SCA-6_Chr4v1_11596,RIK,55.4,79,31.7,0.351,-1.5,1,-1.5,1.3e-01,1.0e+00,0.9998,7545,5.9,130.5,197.6,0,73.7,66.3,37.3,35,0,19.9,50.2,47.9
SCA-6_Chr4v1_11597,E70E2,61,59.8,62.3,1.604,0.7,0.73,0.93,3.5e-01,1.0e+00,0.9998,7546,83.7,112.6,84.2,43.4,35,0,110.7,80.8,32,69.2,40.1,40.8
SCA-6_Chr4v1_11598,SCP25,229.7,217.5,241.9,1.11,0.2,0.32,0.47,6.4e-01,1.0e+00,0.9998,7547,104.9,211.2,305.1,241.8,213.5,228.7,307.6,243.5,214.6,207.7,238.4,239.5
SCA-6_Chr4v1_11600,CRR7,18.8,20,17.5,0.675,-0.6,1.3,-0.43,6.6e-01,1.0e+00,0.9998,7548,0,36.9,49.1,0,28.3,5.9,0,20.5,4,44.6,2.7,33.1
SCA-6_Chr4v1_11601,PP265,4.9,7.2,2.6,2.396,1.3,2.06,0.61,5.4e-01,1.0e+00,0.9998,7549,0,0,32.7,0,10.4,0,5.1,0,0,2.8,6.9,1
SCA-6_Chr4v1_11603,RPK2,209.8,190.4,229.2,1.08,0.1,0.56,0.2,8.4e-01,1.0e+00,0.9998,7550,99,291.9,206.9,45,417.6,81.8,154.4,276.1,69.3,177.4,434,263.9
SCA-6_Chr4v1_11604,AFP2,651.9,657.6,646.2,1.06,0.1,0.33,0.25,8.0e-01,1.0e+00,0.9998,7551,1194.8,520,593.9,737.8,487.5,411.5,1112,895.7,808.9,381.3,390.7,288.9
SCA-6_Chr4v1_11605,NTF2,82,64.4,99.6,1.732,0.8,0.51,1.56,1.2e-01,1.0e+00,0.9998,7552,71.9,41.8,44.4,165.9,31.2,31,141.6,83.2,60,119.5,63.6,129.9
SCA-6_Chr4v1_11612,TCP13,32.6,35,30.1,0.888,-0.2,0.59,-0.29,7.7e-01,1.0e+00,0.9998,7553,53,23.9,17.5,48.1,37.8,29.9,51.5,18.1,17.3,56,13.4,24.5
SCA-6_Chr4v1_11614,TAF8,69.5,82.6,56.4,0.678,-0.6,0.51,-1.1,2.7e-01,1.0e+00,0.9998,7554,77.8,66.7,60.8,134.9,28.3,127.2,41.2,78.4,88,62.6,46.5,21.4
SCA-6_Chr4v1_11615,LNG1,295.7,328.8,262.5,1.006,0,0.63,0.01,9.9e-01,1.0e+00,0.9998,7555,222.7,45.8,106.4,1230.7,194.6,172.6,204.6,79.6,450.5,373.7,161.9,304.7
SCA-6_Chr4v1_11616,YHM3,88.2,80.3,96.2,1.402,0.5,0.44,1.11,2.7e-01,1.0e+00,0.9998,7556,86,124.5,120.4,68.2,63.3,19.2,81.1,157.9,70.6,125.2,90.9,51.5
SCA-6_Chr4v1_11617,MES11,47,53.1,41,0.615,-0.7,0.47,-1.47,1.4e-01,1.0e+00,0.9998,7557,29.5,42.8,62,38.8,69,76.4,18,38.6,18.7,35.1,76.4,59.1
SCA-6_Chr4v1_11618,SP1L1,237.7,246.1,229.3,0.771,-0.4,0.62,-0.6,5.5e-01,1.0e+00,0.9998,7558,76.6,314.8,267.7,14,578.2,225,84.9,217,113.3,186.9,393.9,380.1
SCA-6_Chr4v1_11619,EIF3M,66,85,47,0.571,-0.8,0.64,-1.26,2.1e-01,1.0e+00,0.9998,7559,140.2,79.7,59.6,21.7,180.4,28.3,29.6,50.6,9.3,48.4,80.2,63.7
SCA-6_Chr4v1_11620,SCA-6_Chr4v1_11620,176.6,173.1,180.1,0.295,-1.8,1.1,-1.59,1.1e-01,1.0e+00,0.9998,7560,20,178.3,218.6,27.9,277.7,315.8,3.9,92.8,0,127.1,372,484.5
SCA-6_Chr4v1_11621,AB25B,103.5,90.7,116.2,1.266,0.3,0.55,0.62,5.4e-01,1.0e+00,0.9998,7561,119,70.7,70.1,159.7,47.2,77.5,128.7,145.9,255.9,71.1,82.8,12.7
SCA-6_Chr4v1_11632,SCA-6_Chr4v1_11632,50.8,43.5,58,2.291,1.2,0.67,1.78,7.6e-02,1.0e+00,0.9998,7562,47.1,46.8,35.1,97.7,34,0,95.2,50.6,88,67.3,17.1,30.1
SCA-6_Chr4v1_11642,FERON,32,38.3,25.7,0.914,-0.1,0.94,-0.14,8.9e-01,1.0e+00,0.9998,7563,99,0,67.8,24.8,20.8,17.6,16.7,0,61.3,26.6,30.5,18.9
SCA-6_Chr4v1_11649,SCA-6_Chr4v1_11649,5,3.3,6.6,9.56,3.3,2.08,1.57,1.2e-01,1.0e+00,0.9998,7564,8.2,0,11.7,0,0,0,0,9.6,0,4.7,12.8,12.7
SCA-6_Chr4v1_11652,SCA-6_Chr4v1_11652,13.7,12.4,15,2.65,1.4,1.17,1.2,2.3e-01,1.0e+00,0.9998,7565,43.6,5,8.2,6.2,11.3,0,42.5,31.3,0,1.9,8.6,5.6
SCA-6_Chr4v1_11653,FERON,187.6,171.9,203.2,1.182,0.2,0.42,0.58,5.6e-01,1.0e+00,0.9998,7566,233.3,110.6,218.6,251.1,102,116,251,243.5,455.8,121.4,64.7,83
SCA-6_Chr4v1_11654,FERON,49.4,44.9,53.8,1.186,0.2,0.58,0.43,6.7e-01,1.0e+00,0.9998,7567,63.6,79.7,35.1,32.6,9.4,49.2,72.1,28.9,82.6,42.7,62,34.6
SCA-6_Chr4v1_11656,FERON,6.4,7.2,5.6,1.297,0.4,1.78,0.21,8.3e-01,1.0e+00,0.9998,7568,8.2,20.9,14,0,0,0,19.3,7.2,0,2.8,0,4.1
SCA-6_Chr4v1_11658,SCA-6_Chr4v1_11658,153.6,183.3,123.8,0.629,-0.7,0.59,-1.13,2.6e-01,1.0e+00,0.9998,7569,49.5,160.4,205.7,15.5,445,223.9,75.9,91.6,65.3,106.2,234.6,169.2
SCA-6_Chr4v1_11659,Y5900,196.6,193.6,199.8,1.04,0.1,0.46,0.12,9.0e-01,1.0e+00,0.9998,7570,136.7,281.9,250.2,80.6,256,156,221.4,430.4,129.3,157.5,196.7,63.2
SCA-6_Chr4v1_11660,RLF27,59.9,42.5,77.2,2.187,1.1,0.71,1.59,1.1e-01,1.0e+00,0.9998,7571,100.2,21.9,17.5,63.6,50.1,1.6,121,15.7,226.6,24.7,25.1,50.4
SCA-6_Chr4v1_11661,RLF27,192,221.2,162.7,0.863,-0.2,0.31,-0.68,5.0e-01,1.0e+00,0.9998,7572,248.6,194.3,182.4,334.8,287.2,80.2,175,180.8,269.2,162.2,101.5,87.6
SCA-6_Chr4v1_11663,Y5900,121.4,115.5,127.2,1.124,0.2,0.56,0.3,7.6e-01,1.0e+00,0.9998,7573,288.7,132.5,64.3,76,54.8,76.9,234.2,243.5,161.3,37,54,33.1
SCA-6_Chr4v1_11664,THE1,12.7,10.7,14.8,1.062,0.1,1.33,0.06,9.5e-01,1.0e+00,0.9998,7574,16.5,18.9,15.2,0,3.8,9.6,0,22.9,58.6,4.7,2.7,0
SCA-6_Chr4v1_11667,DRL4,390.6,281.2,500,1.633,0.7,0.43,1.66,9.8e-02,1.0e+00,0.9998,7575,438.3,237.1,249,390.6,143.6,228.7,749,368.9,1248.7,266.5,194.5,172.2
SCA-6_Chr4v1_11670,FERON,16.8,14.6,19.1,2.454,1.3,0.97,1.34,1.8e-01,1.0e+00,0.9998,7576,16.5,17.9,30.4,0,22.7,0,10.3,14.5,45.3,25.6,10.2,8.7
SCA-6_Chr4v1_11671,CI085,15.5,14.5,16.4,1.467,0.6,1.03,0.54,5.9e-01,1.0e+00,0.9998,7577,16.5,4,2.3,55.8,8.5,0,32.2,26.5,9.3,30.4,0,0
SCA-6_Chr4v1_11674,COBL1,29.7,25.2,34.1,2.639,1.4,0.91,1.54,1.2e-01,1.0e+00,0.9998,7578,14.1,10,26.9,97.7,2.8,0,16.7,45.8,74.6,34.1,10.2,23.4
SCA-6_Chr4v1_11675,COBL4,40.1,37.4,42.9,1.194,0.3,0.65,0.39,6.9e-01,1.0e+00,0.9998,7579,20,63.8,40.9,24.8,67.1,7.5,66.9,14.5,32,33.2,47,63.7
SCA-6_Chr4v1_11678,Y5713,16.7,13.1,20.3,1.553,0.6,1.07,0.6,5.5e-01,1.0e+00,0.9998,7580,0,12,35.1,0,7.6,24,28.3,44.6,9.3,15.2,15,9.2
SCA-6_Chr4v1_11679,C85A,58.4,51.6,65.1,1.51,0.6,0.59,1.02,3.1e-01,1.0e+00,0.9998,7581,96.6,103.6,43.3,41.9,13.2,11.2,92.7,54.2,153.3,44.6,30.5,15.3
SCA-6_Chr4v1_11683,TRM2,443.5,468.5,418.5,0.975,0,0.32,-0.11,9.1e-01,1.0e+00,0.9998,7582,651.6,568.9,385.8,635.5,317.4,251.7,588.2,473.8,415.8,308.3,299.8,424.9
SCA-6_Chr4v1_11684,PIGP,42.7,44.4,40.9,0.931,-0.1,0.61,-0.17,8.7e-01,1.0e+00,0.9998,7583,5.9,41.8,51.4,105.4,41.6,20.3,12.9,45.8,37.3,59.8,47.6,42.3
SCA-6_Chr4v1_11688,SCA-6_Chr4v1_11688,47,36,58,1.612,0.7,0.69,1,3.2e-01,1.0e+00,0.9998,7584,15.3,56.8,45.6,9.3,69,19.8,7.7,45.8,89.3,55,99.4,51
SCA-6_Chr4v1_11691,UVR8,88.2,83,93.4,1.213,0.3,0.47,0.6,5.5e-01,1.0e+00,0.9998,7585,146.1,56.8,134.4,54.3,29.3,76.9,78.5,133.8,115.9,95.8,73.2,63.2
SCA-6_Chr4v1_11693,SCA-6_Chr4v1_11693,157.2,145.2,169.3,1.089,0.1,0.42,0.29,7.7e-01,1.0e+00,0.9998,7586,88.4,171.4,130.9,89.9,258.9,131.5,97.8,255.6,104,186.9,127.2,244.1
SCA-6_Chr4v1_11694,RING3,126.1,132.9,119.4,0.884,-0.2,0.56,-0.32,7.5e-01,1.0e+00,0.9998,7587,36.5,201.2,197.6,48.1,214.4,99.4,59.2,247.1,105.3,56.9,145.4,102.4
SCA-6_Chr4v1_11695,AUG5,180.4,185.6,175.2,1.03,0,0.32,0.13,8.9e-01,1.0e+00,0.9998,7588,282.8,180.3,233.8,119.4,175.7,121.3,189.2,198.9,138.6,208.7,175.3,140.6
SCA-6_Chr4v1_11698,CROS1,30.7,18.4,43,2.221,1.2,0.71,1.63,1.0e-01,1.0e+00,0.9998,7589,11.8,11,17.5,10.9,5.7,53.4,14.2,109.7,42.6,37.9,26.7,27
SCA-6_Chr4v1_11699,SCA-6_Chr4v1_11699,108.9,116.9,100.8,0.824,-0.3,0.37,-0.75,4.5e-01,1.0e+00,0.9998,7590,126.1,64.8,59.6,125.6,135.1,190.2,105.5,80.8,92,82.5,92.5,151.8
SCA-6_Chr4v1_11702,BIG,1220.4,1192.2,1248.7,1.122,0.2,0.29,0.58,5.6e-01,1.0e+00,0.9998,7591,1644.9,1086.9,1166.7,1808.9,718.9,726.7,1521.3,1288.7,1823.1,1563.2,726.3,569.6
SCA-6_Chr4v1_11703,RRT1,131.6,142.1,121.1,1.032,0,0.47,0.1,9.2e-01,1.0e+00,0.9998,7592,235.7,128.5,112.2,265.1,70.9,40.1,119.7,60.3,237.2,142.3,86.6,80.5
SCA-6_Chr4v1_11704,BIM2,94,87.9,100,1.102,0.1,0.39,0.36,7.2e-01,1.0e+00,0.9998,7593,67.2,89.7,122.7,43.4,127.5,76.9,87.5,90.4,74.6,76.8,140,130.9
SCA-6_Chr4v1_11705,OFT27,166.9,134,199.9,1.446,0.5,0.36,1.47,1.4e-01,1.0e+00,0.9998,7594,136.7,107.6,76,200,164.4,119.2,208.5,131.4,150.6,235.2,179.6,294
SCA-6_Chr4v1_11706,P4KG7,225.4,231.5,219.4,0.925,-0.1,0.29,-0.38,7.0e-01,1.0e+00,0.9998,7595,147.3,189.3,238.5,220.1,247.5,346.3,182.8,166.4,278.5,221,251.7,216
SCA-6_Chr4v1_11707,CRLK2,30,29.3,30.7,1.076,0.1,0.63,0.17,8.7e-01,1.0e+00,0.9998,7596,8.2,13.9,18.7,21.7,16.1,97.3,14.2,47,21.3,32.3,50.2,19.4
SCA-6_Chr4v1_11715,AB17B,161.1,182.1,140.2,1.102,0.1,0.54,0.26,7.9e-01,1.0e+00,0.9998,7597,187.3,137.5,106.4,545.6,84.1,31.5,122.3,74.7,314.5,176.4,59.9,93.2
SCA-6_Chr4v1_11721,R13L1,10,13.8,6.2,0.523,-0.9,1.55,-0.6,5.5e-01,1.0e+00,0.9998,7598,4.7,31.9,8.2,3.1,0,34.7,16.7,0,0,16.1,0,4.6
SCA-6_Chr4v1_11730,DHQS,5.4,3.9,7,2.157,1.1,1.84,0.6,5.5e-01,1.0e+00,0.9998,7599,4.7,1,7,0,10.4,0,0,8.4,0,0,13.9,19.4
SCA-6_Chr4v1_11731,GALM,263.5,217.2,309.7,1.513,0.6,0.34,1.76,7.9e-02,1.0e+00,0.9998,7600,140.2,236.1,230.3,313.1,272.1,111.7,329.5,487,230.6,218.2,312.1,280.7
SCA-6_Chr4v1_11737,RPOT2,495.8,496.1,495.5,1.068,0.1,0.33,0.29,7.8e-01,1.0e+00,0.9998,7601,708.1,466.3,390.5,849.4,285.3,276.8,745.2,567.8,738.3,496.1,192.9,232.8
SCA-6_Chr4v1_11739,NADAP,646.8,673.5,620.2,0.954,-0.1,0.28,-0.25,8.0e-01,1.0e+00,0.9998,7602,956.8,486.2,693.2,711.5,555.5,638,870,749.9,758.3,586.2,424.9,331.7
SCA-6_Chr4v1_11743,AVT6A,353.6,327,380.2,1.141,0.2,0.45,0.42,6.8e-01,1.0e+00,0.9998,7603,207.4,520,535.4,62,260.7,376.7,244.5,543.7,402.5,404.1,354.3,332.2
SCA-6_Chr4v1_11744,SCA-6_Chr4v1_11744,25.1,19,31.1,0.867,-0.2,0.98,-0.21,8.3e-01,1.0e+00,0.9998,7604,9.4,13,10.5,3.1,48.2,29.9,1.3,43.4,0,32.3,62.5,47.4
SCA-6_Chr4v1_11746,RING1,10,13.1,6.7,0.559,-0.8,1.23,-0.68,4.9e-01,1.0e+00,0.9998,7605,15.3,17.9,5.8,3.1,36.8,0,5.1,9.6,0,5.7,13.9,6.1
SCA-6_Chr4v1_11749,6PGD2,58.6,65.8,51.4,0.915,-0.1,0.43,-0.29,7.7e-01,1.0e+00,0.9998,7606,38.9,74.7,56.1,83.7,118.1,23.5,63.1,53,74.6,59.8,23,34.6
SCA-6_Chr4v1_11757,COL2,71.2,81,61.4,0.739,-0.4,0.75,-0.58,5.6e-01,1.0e+00,0.9998,7607,18.9,60.8,114.6,48.1,64.2,179.5,50.2,143.5,94.6,34.1,2.1,43.8
SCA-6_Chr4v1_11759,FDL1,161.8,177,146.6,0.916,-0.1,0.4,-0.32,7.5e-01,1.0e+00,0.9998,7608,197.9,183.3,302.8,80.6,227.7,69.5,204.6,194.1,122.6,273.2,50.8,34.1
SCA-6_Chr4v1_11761,MYB20,5.9,7.1,4.7,0.474,-1.1,1.4,-0.77,4.4e-01,1.0e+00,0.9998,7609,0,14.9,8.2,0,5.7,13.9,3.9,10.8,0,9.5,2.1,2
SCA-6_Chr4v1_11762,SCA-6_Chr4v1_11762,6.3,7.8,4.8,0.339,-1.6,1.96,-0.8,4.3e-01,1.0e+00,0.9998,7610,0,0,15.2,0,3.8,27.8,0,0,0,16.1,6.9,5.6
SCA-6_Chr4v1_11764,SCA-6_Chr4v1_11764,63,41.9,84.1,1.245,0.3,0.88,0.36,7.2e-01,1.0e+00,0.9998,7611,36.5,42.8,62,7.8,94.5,8,29.6,32.5,0,74.9,107.4,260.4
SCA-6_Chr4v1_11765,GDL80,21.9,17.2,26.5,2.054,1,0.76,1.37,1.7e-01,1.0e+00,0.9998,7612,25.9,3,25.7,1.6,17.9,29.4,34.7,33.8,34.7,2.8,24,29
SCA-6_Chr4v1_11767,DGLB,43.1,59.8,26.4,0.501,-1,0.58,-1.73,8.4e-02,1.0e+00,0.9998,7613,103.7,47.8,66.6,40.3,68,32.1,41.2,35,6.7,21.8,40.6,13.2
SCA-6_Chr4v1_11768,PIGM,7.5,9.6,5.5,0.322,-1.6,1.62,-1.01,3.1e-01,1.0e+00,0.9998,7614,0,11,15.2,4.7,26.5,0,0,10.8,0,0.9,10.2,11.2
SCA-6_Chr4v1_11769,TIC40,189.1,196.5,181.7,0.85,-0.2,0.34,-0.69,4.9e-01,1.0e+00,0.9998,7615,205,134.5,155.5,221.7,206.9,255.4,79.8,183.2,197.2,157.5,292.9,179.3
SCA-6_Chr4v1_11770,SCA-6_Chr4v1_11770,7.4,7.9,6.8,0.689,-0.5,1.33,-0.4,6.9e-01,1.0e+00,0.9998,7616,8.2,5,2.3,18.6,0,13.4,0,0,5.3,12.3,16.6,6.6
SCA-6_Chr4v1_11772,RAD4,62.3,61.5,63,0.992,0,0.49,-0.02,9.8e-01,1.0e+00,0.9998,7617,83.7,51.8,49.1,66.7,17,101,51.5,36.2,94.6,59.8,63.1,72.9
SCA-6_Chr4v1_11773,MAF1,107.1,113.2,101,0.831,-0.3,0.56,-0.47,6.4e-01,1.0e+00,0.9998,7618,50.7,166.4,44.4,32.6,163.4,221.8,105.5,194.1,38.6,84.4,127.7,55.5
SCA-6_Chr4v1_11776,MYOB3,300.6,310.8,290.4,1.096,0.1,0.4,0.33,7.4e-01,1.0e+00,0.9998,7619,524.3,290.9,201.1,553.4,196.5,98.9,429.9,428,174.6,268.4,231.4,210.4
SCA-6_Chr4v1_11777,ATA15,157.6,184.3,130.9,0.73,-0.5,0.4,-1.14,2.5e-01,1.0e+00,0.9998,7620,181.5,134.5,197.6,72.9,189.9,329.2,65.6,155.5,197.2,89.2,134.1,143.7
SCA-6_Chr4v1_11780,RSI1,18.6,19.1,18.1,0.972,0,1.26,-0.03,9.7e-01,1.0e+00,0.9998,7621,0,50.8,0,0,27.4,36.3,1.3,20.5,29.3,22.8,19.2,15.8
SCA-6_Chr4v1_11781,CYQ32,146.1,145.1,147.1,1.319,0.4,0.55,0.72,4.7e-01,1.0e+00,0.9998,7622,232.1,253.1,202.2,40.3,113.4,29.4,275.4,308.6,66.6,67.3,91.4,73.4
SCA-6_Chr4v1_11792,CYQ32,7.3,7.1,7.5,1.532,0.6,1.48,0.42,6.8e-01,1.0e+00,0.9998,7623,11.8,20.9,3.5,0,6.6,0,0,22.9,10.7,8.5,0,3.1
SCA-6_Chr4v1_11793,T214A,319.7,313.8,325.6,0.922,-0.1,0.27,-0.44,6.6e-01,1.0e+00,0.9998,7624,368.8,347.7,259.5,248,246.6,412,269,185.7,307.9,252.3,447.3,491.2
SCA-6_Chr4v1_11797,SYVM2,71.6,72.6,70.7,1.185,0.2,0.47,0.53,6.0e-01,1.0e+00,0.9998,7625,128.4,92.7,81.8,86.8,25.5,20.3,70.8,65.1,100,102.4,43.3,42.3
SCA-6_Chr4v1_11801,DHAR3,18.1,21.1,15,0.276,-1.9,0.99,-1.87,6.1e-02,1.0e+00,0.9998,7626,10.6,24.9,32.7,9.3,27.4,21.9,0,4.8,0,19.9,23.5,41.8
SCA-6_Chr4v1_11805,GAI,398.5,422.9,374.1,0.856,-0.2,0.5,-0.45,6.5e-01,1.0e+00,0.9998,7627,532.6,283.9,185.9,697.5,170,667.4,637.1,202.5,585.1,469.5,116,234.4
SCA-6_Chr4v1_11814,PTST,125.7,138.4,113,0.913,-0.1,0.4,-0.33,7.4e-01,1.0e+00,0.9998,7628,114.3,170.4,174.2,122.5,186.1,63.1,249.7,85.6,77.3,90.1,72.7,102.9
SCA-6_Chr4v1_11815,CAR1,75.4,91,59.8,0.668,-0.6,0.53,-1.11,2.7e-01,1.0e+00,0.9998,7629,25.9,92.7,107.6,82.2,159.7,78,69.5,101.3,46.6,20.9,63.1,57.6
SCA-6_Chr4v1_11818,CML23,8.5,11.4,5.6,0.246,-2,1.55,-1.3,1.9e-01,1.0e+00,0.9998,7630,0,35.9,22.2,0,9.4,1.1,0,7.2,0,10.4,3.7,12.2
SCA-6_Chr4v1_11819,SCRK6,62.7,55.5,70,1.205,0.3,0.51,0.52,6.0e-01,1.0e+00,0.9998,7631,43.6,47.8,70.1,35.7,89.7,46,14.2,75.9,76,64.5,96.2,93.2
SCA-6_Chr4v1_11821,LRK92,58.5,52.7,64.3,1.413,0.5,0.53,0.93,3.5e-01,1.0e+00,0.9998,7632,53,10,94.7,26.4,54.8,77.5,65.6,43.4,66.6,94.9,72.7,42.8
SCA-6_Chr4v1_11822,PP129,65.2,68.2,62.3,1.109,0.1,0.64,0.23,8.2e-01,1.0e+00,0.9998,7633,167.3,71.7,17.5,119.4,13.2,19.8,112,73.5,37.3,69.2,34.7,46.9
SCA-6_Chr4v1_11823,DRB4,92.4,73.8,110.9,1.86,0.9,0.49,1.81,7.0e-02,1.0e+00,0.9998,7634,62.4,101.6,128.6,34.1,102,14.4,73.4,155.5,102.6,139.4,104.2,90.2
SCA-6_Chr4v1_11825,PUB2,169.2,181.6,156.7,1.017,0,0.47,0.05,9.6e-01,1.0e+00,0.9998,7635,101.3,199.3,339,99.2,281.5,69.5,52.8,197.7,225.2,187.8,150.2,126.4
SCA-6_Chr4v1_11828,APO4,13.1,13,13.2,2.225,1.2,1.31,0.88,3.8e-01,1.0e+00,0.9998,7636,5.9,0,16.4,9.3,46.3,0,0,26.5,21.3,5.7,15.5,10.2
SCA-6_Chr4v1_11830,DEGP7,328.8,347.1,310.6,0.881,-0.2,0.32,-0.58,5.6e-01,1.0e+00,0.9998,7637,392.4,384.6,281.7,303.8,276.8,443.5,426,353.2,246.5,443,202,192.6
SCA-6_Chr4v1_11838,Y1648,9.4,6.7,12.2,6.832,2.8,1.4,1.99,4.7e-02,1.0e+00,0.9998,7638,0,0,23.4,1.6,15.1,0,5.1,20.5,26.7,3.8,1.6,15.3
SCA-6_Chr4v1_11839,MYB6,45.3,54.4,36.3,0.735,-0.4,0.5,-0.89,3.7e-01,1.0e+00,0.9998,7639,87.2,73.7,64.3,41.9,36.8,22.4,33.5,47,72,39.8,18.7,6.6
SCA-6_Chr4v1_11840,PDXK,122.1,119.5,124.6,1.076,0.1,0.45,0.24,8.1e-01,1.0e+00,0.9998,7640,141.4,133.5,154.3,131.8,77.5,78.5,185.3,280.9,46.6,83.5,81.2,70.3
SCA-6_Chr4v1_11841,AAR2,73.8,73.2,74.4,0.96,-0.1,0.43,-0.14,8.9e-01,1.0e+00,0.9998,7641,36.5,71.7,97,24.8,97.3,112.2,64.4,54.2,72,54.1,118.1,83.6
SCA-6_Chr4v1_11844,LRKS5,8.7,3.7,13.7,2.434,1.3,1.33,0.96,3.4e-01,1.0e+00,0.9998,7642,8.2,4,7,0,2.8,0,5.1,4.8,0,11.4,25.7,35.2
SCA-6_Chr4v1_11845,SCA-6_Chr4v1_11845,37.4,36.7,38,0.942,-0.1,0.77,-0.11,9.1e-01,1.0e+00,0.9998,7643,15.3,29.9,39.7,55.8,41.6,37.9,0,50.6,48,41.7,14.4,73.4
SCA-6_Chr4v1_11846,BGL44,296.7,307.8,285.6,0.804,-0.3,0.38,-0.83,4.1e-01,1.0e+00,0.9998,7644,209.7,133.5,280.6,373.6,367.5,482,180.2,132.6,202.6,337.7,274.7,585.9
SCA-6_Chr4v1_11849,FMT,22.7,26.4,19,0.865,-0.2,0.91,-0.23,8.2e-01,1.0e+00,0.9998,7645,5.9,7,19.9,20.2,5.7,99.9,16.7,0,41.3,17.1,23.5,15.3
SCA-6_Chr4v1_11850,SIL10,355.2,355.1,355.3,1.05,0.1,0.42,0.17,8.7e-01,1.0e+00,0.9998,7646,394.7,239.1,381.1,708.4,142.7,264.5,361.7,340,719.7,295,143.8,271.6
SCA-6_Chr4v1_11851,CLPP3,125.5,136,115,1.029,0,0.38,0.11,9.1e-01,1.0e+00,0.9998,7647,215.6,178.3,141.5,153.5,88.8,38.5,159.6,182,141.3,81.6,55.6,69.8
SCA-6_Chr4v1_11852,SCA-6_Chr4v1_11852,65.1,82.2,48.1,0.568,-0.8,0.53,-1.55,1.2e-01,1.0e+00,0.9998,7648,37.7,43.8,60.8,94.6,101.1,155,21.9,33.8,104,30.4,55.6,42.8
SCA-6_Chr4v1_11853,ZEUS1,13.3,14.4,12.2,0.956,-0.1,1.06,-0.06,9.5e-01,1.0e+00,0.9998,7649,16.5,9,7,0,7.6,46.5,24.5,12.1,0,2.8,21.9,12.2
SCA-6_Chr4v1_11858,PILS2,14.5,14.8,14.1,0.977,0,0.97,-0.03,9.7e-01,1.0e+00,0.9998,7650,14.1,13.9,1.2,17.1,31.2,11.2,27,10.8,0,18,8.6,20.4
SCA-6_Chr4v1_11860,MARH2,17.9,16.2,19.5,1.181,0.2,0.89,0.27,7.9e-01,1.0e+00,0.9998,7651,31.8,12,7,24.8,0.9,20.8,11.6,4.8,40,40.8,9.1,10.7
SCA-6_Chr4v1_11861,SCA-6_Chr4v1_11861,8.8,12,5.7,0.689,-0.5,1.66,-0.32,7.5e-01,1.0e+00,0.9998,7652,0,12,15.2,37.2,7.6,0,14.2,0,0,19.9,0,0
SCA-6_Chr4v1_11862,IF5,226.4,245.6,207.2,0.934,-0.1,0.38,-0.26,8.0e-01,1.0e+00,0.9998,7653,385.3,165.4,216.3,437.1,138.9,130.4,214.9,212.2,349.2,197.3,105.8,164.1
SCA-6_Chr4v1_11864,GAO,31.1,40.5,21.7,0.429,-1.2,0.78,-1.57,1.2e-01,1.0e+00,0.9998,7654,50.7,60.8,15.2,20.2,21.7,74.3,24.5,62.7,20,16.1,2.7,4.1
