name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Late_OTA_3_R1,Late_OTA_3_R2,Late_OTA_3_R3,Late_OTA_4_R1,Late_OTA_4_R2,Late_OTA_4_R3,Late_PTA_3_R1,Late_PTA_3_R2,Late_PTA_3_R3,Late_PTA_4_R1,Late_PTA_4_R2,Late_PTA_4_R3
SCA-6_Chr1v1_01672,HIBC8,253.1,256.1,250.2,0.84,-0.3,0.37,-0.68,5.0e-01,1.0e+00,0.9998,1444,274.5,193.3,146.1,327.1,171,424.8,117.1,106.1,278.5,225.8,293.4,480
SCA-6_Chr1v1_01673,FAR1,588.4,623.4,553.4,0.974,0,0.38,-0.1,9.2e-01,1.0e+00,0.9998,1445,830.7,402.5,492.2,1353.2,291,370.8,695,476.2,871.6,584.3,328.1,365.3
SCA-6_Chr1v1_01674,FRS2,77.4,87.7,67,0.732,-0.5,0.42,-1.07,2.8e-01,1.0e+00,0.9998,1446,50.7,101.6,140.3,82.2,62.4,89.2,65.6,51.8,38.6,98.6,77.5,69.8
SCA-6_Chr1v1_01675,C97B2,51.9,52,51.8,1.14,0.2,0.48,0.39,6.9e-01,1.0e+00,0.9998,1447,41.2,59.8,46.8,86.8,56.7,20.8,51.5,22.9,78.6,70.2,40.6,46.9
SCA-6_Chr1v1_01676,VQ22,6.8,5,8.6,2.685,1.4,1.62,0.88,3.8e-01,1.0e+00,0.9998,1448,2.4,8,17.5,0,1.9,0,28.3,12.1,0,0,2.7,8.7
SCA-6_Chr1v1_01678,CCT2,117.1,128.9,105.4,1.056,0.1,0.37,0.21,8.3e-01,1.0e+00,0.9998,1449,106,134.5,176.5,114.7,214.4,27.3,158.3,180.8,105.3,93.9,47,46.9
SCA-6_Chr1v1_01679,CCT1,87.4,95.1,79.8,0.87,-0.2,0.39,-0.52,6.0e-01,1.0e+00,0.9998,1450,110.8,83.7,122.7,97.7,86,69.5,119.7,139.8,54.6,81.6,46.5,36.7
SCA-6_Chr1v1_01685,UFOG6,9.4,11.9,6.9,0.957,-0.1,1.74,-0.04,9.7e-01,1.0e+00,0.9998,1451,0,4,23.4,40.3,3.8,0,0,14.5,17.3,0,0,9.7
SCA-6_Chr1v1_01687,PP246,69.3,75.5,63.1,0.808,-0.3,0.64,-0.48,6.3e-01,1.0e+00,0.9998,1452,103.7,31.9,57.3,167.4,15.1,77.5,122.3,26.5,98.6,78.7,18.2,34.6
SCA-6_Chr1v1_01690,T2EA,252.6,277,228.2,0.844,-0.2,0.36,-0.68,5.0e-01,1.0e+00,0.9998,1453,470.1,234.1,162.5,353.4,174.8,267.2,281.9,185.7,262.5,314,152.3,172.7
SCA-6_Chr1v1_01691,SCA-6_Chr1v1_01691,38.3,36.7,39.8,1.097,0.1,0.73,0.18,8.6e-01,1.0e+00,0.9998,1454,40.1,41.8,8.2,93,14.2,23,11.6,12.1,41.3,66.4,12.3,95.3
SCA-6_Chr1v1_01693,RL131,724.4,747.3,701.5,0.652,-0.6,0.58,-1.06,2.9e-01,1.0e+00,0.9998,1455,242.7,1225.4,800.8,283.7,1725,206.3,230.4,679.9,255.9,387,1125.5,1530
SCA-6_Chr1v1_01697,PRF1,211.5,258.2,164.7,0.748,-0.4,0.4,-1.06,2.9e-01,1.0e+00,0.9998,1456,251,183.3,232.6,331.7,472.4,78.5,208.5,139.8,121.3,204.9,181.7,132
SCA-6_Chr1v1_01699,ERECT,6.7,7,6.3,0.503,-1,2.19,-0.45,6.5e-01,1.0e+00,0.9998,1457,0,0,17.5,24.8,0,0,0,14.5,0,15.2,0,8.2
SCA-6_Chr1v1_01700,APL,12.8,11.3,14.4,1.175,0.2,1.29,0.18,8.6e-01,1.0e+00,0.9998,1458,4.7,0,18.7,14,8.5,21.9,1.3,45.8,24,1.9,13.4,0
SCA-6_Chr1v1_01701,RUG3,16.6,12.5,20.7,1.35,0.4,1.06,0.41,6.8e-01,1.0e+00,0.9998,1459,5.9,24.9,10.5,0,33.1,0.5,3.9,26.5,8,17.1,25.1,43.8
SCA-6_Chr1v1_01704,HEM6,376,343.6,408.4,0.946,-0.1,0.48,-0.17,8.7e-01,1.0e+00,0.9998,1460,172,345.7,411.5,79.1,670.7,382.6,133.9,350.8,209.2,300.7,608.2,847.8
SCA-6_Chr1v1_01705,MAP22,1685.8,1656.9,1714.7,1.195,0.3,0.34,0.76,4.5e-01,1.0e+00,0.9998,1461,3043.5,1001.2,1656.5,2649,1096.8,494.3,3312.8,1877,2568.1,1339.3,606.1,584.9
SCA-6_Chr1v1_01707,APA1,1333.3,1266.9,1399.6,0.841,-0.3,0.43,-0.59,5.6e-01,1.0e+00,0.9998,1462,589.1,1688.7,1070.8,282.1,1525.7,2445.2,597.2,1608.2,627.7,675.4,2915.4,1973.8
SCA-6_Chr1v1_01708,WRK42,170.2,140.1,200.3,2.037,1,0.55,1.88,6.1e-02,1.0e+00,0.9998,1463,359.4,193.3,156.7,89.9,28.3,12.8,209.8,346,423.8,110,52.4,59.6
SCA-6_Chr1v1_01713,CSLH1,72.7,72.7,72.8,0.857,-0.2,0.5,-0.45,6.5e-01,1.0e+00,0.9998,1464,40.1,78.7,92.4,18.6,114.3,91.9,48.9,38.6,53.3,54.1,75.4,166.6
SCA-6_Chr1v1_01714,CSLH1,14.6,16.2,12.9,0.504,-1,0.84,-1.17,2.4e-01,1.0e+00,0.9998,1465,24.7,19.9,9.4,17.1,17.9,8.5,5.1,26.5,14.7,30.4,0.5,0.5
SCA-6_Chr1v1_01715,FACD2,20.8,20,21.6,1.749,0.8,0.87,0.93,3.5e-01,1.0e+00,0.9998,1466,35.3,19.9,3.5,45,16.1,0,39.9,20.5,24,20.9,16,8.2
SCA-6_Chr1v1_01716,FACD2,55.8,72.6,38.9,0.837,-0.3,0.71,-0.36,7.2e-01,1.0e+00,0.9998,1467,36.5,22.9,39.7,310,12.3,13.9,45,50.6,24,55,9.1,49.9
SCA-6_Chr1v1_01717,SCA-6_Chr1v1_01717,9,4.4,13.5,3.95,2,1.16,1.71,8.7e-02,1.0e+00,0.9998,1468,5.9,4,3.5,4.7,8.5,0,14.2,10.8,0,33.2,8.6,14.3
